 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2008, Numar persoane,46
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2009, Numar persoane,46
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2010, Numar persoane,42
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2011, Numar persoane,47
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2012, Numar persoane,44
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2013, Numar persoane,43
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2014, Numar persoane,40
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2015, Numar persoane,48
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2016, Numar persoane,51
 42480 DRAGUS,35-39 ani, Masculin, Brasov, Anul 2017, Numar persoane,58
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2005, Numar persoane,29
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2006, Numar persoane,30
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2007, Numar persoane,35
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2008, Numar persoane,34
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2009, Numar persoane,36
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2010, Numar persoane,36
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2011, Numar persoane,35
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2012, Numar persoane,33
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2013, Numar persoane,34
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2014, Numar persoane,40
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2015, Numar persoane,40
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2016, Numar persoane,41
 42480 DRAGUS,35-39 ani, Feminin, Brasov, Anul 2017, Numar persoane,39
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2005, Numar persoane,30
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2006, Numar persoane,41
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2007, Numar persoane,44
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2008, Numar persoane,50
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2009, Numar persoane,53
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2010, Numar persoane,55
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2011, Numar persoane,48
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2012, Numar persoane,47
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2013, Numar persoane,49
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2014, Numar persoane,50
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2015, Numar persoane,47
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2016, Numar persoane,50
 42480 DRAGUS,40-44 ani, Masculin, Brasov, Anul 2017, Numar persoane,42
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2005, Numar persoane,14
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2006, Numar persoane,14
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2007, Numar persoane,13
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2008, Numar persoane,20
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2009, Numar persoane,24
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2010, Numar persoane,32
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2011, Numar persoane,33
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2012, Numar persoane,38
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2013, Numar persoane,40
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2014, Numar persoane,37
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2015, Numar persoane,38
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2016, Numar persoane,35
 42480 DRAGUS,40-44 ani, Feminin, Brasov, Anul 2017, Numar persoane,36
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2005, Numar persoane,30
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2006, Numar persoane,23
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2007, Numar persoane,25
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2008, Numar persoane,21
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2009, Numar persoane,29
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2010, Numar persoane,35
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2011, Numar persoane,47
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2012, Numar persoane,51
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2013, Numar persoane,54
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2014, Numar persoane,54
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2015, Numar persoane,55
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2016, Numar persoane,47
 42480 DRAGUS,45-49 ani, Masculin, Brasov, Anul 2017, Numar persoane,53
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2005, Numar persoane,23
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2006, Numar persoane,24
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2007, Numar persoane,24
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2008, Numar persoane,18
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2009, Numar persoane,18
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2010, Numar persoane,19
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2011, Numar persoane,17
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2012, Numar persoane,18
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2013, Numar persoane,26
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2014, Numar persoane,30
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2015, Numar persoane,40
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2016, Numar persoane,38
 42480 DRAGUS,45-49 ani, Feminin, Brasov, Anul 2017, Numar persoane,44
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2005, Numar persoane,32
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2006, Numar persoane,38
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2007, Numar persoane,35
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2008, Numar persoane,35
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2009, Numar persoane,37
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2010, Numar persoane,35
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2011, Numar persoane,30
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2012, Numar persoane,30
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2013, Numar persoane,25
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2014, Numar persoane,31
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2015, Numar persoane,37
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2016, Numar persoane,46
 42480 DRAGUS,50-54 ani, Masculin, Brasov, Anul 2017, Numar persoane,50
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2005, Numar persoane,30
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2006, Numar persoane,27
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2007, Numar persoane,28
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2008, Numar persoane,31
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2009, Numar persoane,35
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2010, Numar persoane,27
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2011, Numar persoane,30
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2012, Numar persoane,29
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2013, Numar persoane,25
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2014, Numar persoane,29
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2015, Numar persoane,23
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2016, Numar persoane,25
 42480 DRAGUS,50-54 ani, Feminin, Brasov, Anul 2017, Numar persoane,26
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2005, Numar persoane,36
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2006, Numar persoane,33
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2007, Numar persoane,32
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2008, Numar persoane,31
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2009, Numar persoane,28
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2010, Numar persoane,33
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2011, Numar persoane,40
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2012, Numar persoane,40
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2013, Numar persoane,41
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2014, Numar persoane,40
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2015, Numar persoane,42
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2016, Numar persoane,33
 42480 DRAGUS,55-59 ani, Masculin, Brasov, Anul 2017, Numar persoane,33
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2005, Numar persoane,44
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2006, Numar persoane,42
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2007, Numar persoane,26
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2008, Numar persoane,27
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2009, Numar persoane,27
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2010, Numar persoane,32
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2011, Numar persoane,28
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2012, Numar persoane,31
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2013, Numar persoane,34
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2014, Numar persoane,37
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2015, Numar persoane,34
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2016, Numar persoane,38
 42480 DRAGUS,55-59 ani, Feminin, Brasov, Anul 2017, Numar persoane,37
